"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ALLOGRAFT REJECTION",0.000948715575383828,0.0213461004461361,0.477270815362862,-0.382630826052235,-1.65555862015096,111,"KLRD1;GPR65;ETS1;SRGN;PRKCB;GZMB;CD47;CCL4;RIPK2;WAS;ELF4;CCND3;CD7;DARS1;LYN;FGR;TPD52;CAPG;ABCE1;IRF7;IRF8;HLA-DRA","CD56_bright_CD16-_NK","Down with age"
"INTERFERON ALPHA RESPONSE",4.99595419889285e-05,0.00224817938950178,0.557332238758646,-0.492094266471884,-1.95064366048722,68,"TXNIP;TRIM25;IRF9;UBE2L6;CD47;RIPK2;ISG20;PARP9;ELF1;RNF31;IFI35;IRF7;TMEM140;MX1;IFITM3;PSMB8;STAT2;NMI;PSME2;PLSCR1;TRAFD1;PSMB9;CASP8;CMTR1;IFI44;UBA7;NUB1;HLA-C;IFITM2;NCOA7;CASP1","CD56_bright_CD16-_NK","Down with age"
"TNFA SIGNALING VIA NFKB",0.00180673693264527,0.0271010539896791,0.45505986738723,0.360660295747201,1.62580273717496,94,"JUN;FOS;SLC2A3;SQSTM1;REL;KLF6;NR4A3;RELB;NR4A2;DUSP1;CD69;BTG2;CCNL1;BIRC2;SMAD3;IER2;CD83;GADD45B;IRF1;BCL3;KDM6B;FOSB;NAMPT;IER5;EIF1","CD56_bright_CD16-_NK","Up with age"
"ALLOGRAFT REJECTION",8.92248833334685e-05,0.00107069860000162,0.538434096309916,-0.348381071220818,-1.72470549026913,149,"CD96;WAS;CD7;IRF7;CD74;JAK2;CD79A;HLA-DRA;IL2RG;STAT1;FYB1;IL16;PTPRC;CXCR3;CCL5;IL12RB1;NCR1;PSMB10;CSK;SRGN;ETS1;TAP1;FASLG;EIF3J;NCK1;HCLS1;GZMB;WARS1;CRTAM;IL4R;CCR1;DARS1;TAP2;TRAT1;FGR;TRAF2;HLA-DMA;CTSS;NCF4;ITK;EIF5A;CAPG;IFNG;ZAP70","CD56_dim_CD16__KLRC2__NK","Down with age"
"INTERFERON ALPHA RESPONSE",1.15949678408249e-16,2.78279228179798e-15,1.04762648849882,-0.636075317487964,-2.90468180681591,91,"UBE2L6;ISG15;IFI44L;PARP9;LY6E;LGALS3BP;MX1;IRF9;IRF7;CD74;OAS1;PSME2;IFITM1;IFI44;STAT2;PSMB8;NUB1;RSAD2;SAMD9;EIF2AK2;USP18;PSMB9;IFI35;EPSTI1;OASL;SAMD9L;ISG20;PSME1;TRIM21;PARP12;SELL;GBP4;PARP14;TRAFD1;SP110;DHX58;IFITM2;TAP1;NMI;CNP;IFITM3;RNF31;WARS1;IL4R;PLSCR1;MVB12A;IRF2;OGFR;IFI27;CMPK2;TRIM25;HELZ2;TMEM140","CD56_dim_CD16__KLRC2__NK","Down with age"
"INTERFERON GAMMA RESPONSE",3.21666818445609e-24,1.54400072853892e-22,1.27903397725049,-0.591831751985097,-3.00264425844398,175,"CD38;UBE2L6;ISG15;IFI44L;LY6E;LGALS3BP;MX1;IRF9;IRF7;RBCK1;CD74;PTPN2;JAK2;RNF213;GPR18;PSME2;CIITA;IFI44;STAT2;OAS2;PSMB8;XAF1;KLRK1;RSAD2;EIF2AK2;USP18;PSMB9;IFI35;MVP;PML;EPSTI1;PSMB2;CASP4;OASL;STAT1;SAMD9L;NLRC5;ISG20;OAS3;PSME1;TRIM21;PARP12;SOCS3;TNFSF10;GBP4;SLAMF7;MX2;PARP14;CCL5;TRAFD1;SP110;PSMB10;IRF5;DHX58;PDE4B;IFITM2;ITGB7;MYD88;TAP1;NMI;GCH1;TNFAIP3;ARID5B;IFITM3;NCOA3;RNF31;LYSMD2;WARS1;IL4R;STAT3;PLSCR1;VAMP5;SAMHD1;CD69;IRF2;HLA-DMA;IFIT1;OGFR;IFI27;HLA-B;VAMP8;XCL1;CMPK2;TRIM25;AUTS2;HELZ2","CD56_dim_CD16__KLRC2__NK","Down with age"
"OXIDATIVE PHOSPHORYLATION",6.87615043074028e-09,1.10018406891845e-07,0.761460801445585,-0.398200214112341,-2.05871033236648,198,"NDUFB4;NDUFA3;HADHB;ATP5MC2;COX6B1;IDH2;NDUFS7;MRPS12;NDUFB8;UQCR10;ATP5F1B;ATP5F1C;ATP6V0B;PRDX3;COX7B;BCKDHA;NDUFA9;BDH2;ECH1;MTRF1;SLC25A12;CPT1A;MRPL35;CYB5A;ATP5MF;NDUFB3;ECHS1;VDAC2;FH;TIMM50;DECR1;NDUFC2;NDUFA2;PDHA1;UQCRC1;ACAA1;DLST;ETFA;NDUFB2;ATP6V1F;IMMT;MRPS15;PMPCA;COX10;SURF1;MTX2;NDUFA7;TIMM17A;ATP5PB;MDH1;IDH1;SLC25A6;ATP6V1D;ATP5F1A;ATP6V1H;NDUFS3;ATP5PO;UQCRH;COX6C;ATP5MC1;SLC25A20;COX5A;PDP1;NDUFAB1;ACAA2;ECI1;UQCRC2;HSPA9;COX7A2;ATP5F1E;TIMM13;TOMM22;ATP5MC3;COX15;OXA1L;ACAT1;LDHA;AIFM1;ATP5PF;SLC25A5","CD56_dim_CD16__KLRC2__NK","Down with age"
"ALLOGRAFT REJECTION",1.73061353516889e-06,1.21142947461823e-05,0.643551836150722,-0.382259975242406,-1.86586754483458,167,"TRAT1;IRF7;JAK2;IL2RG;CD79A;STAT1;GZMB;EIF3A;FYB1;TAP1;TAP2;CCND2;FASLG;ETS1;WAS;BRCA1;NCR1;TRAF2;EIF3J;UBE2D1;ELF4;LY86;CD7;IRF8;LYN;CD74;PTPRC;CD3G;RIPK2;PSMB10;FGR;CD96;GPR65;HLA-DRA;CSK;EIF5A;IL16;CCL4;BCL3;CD4;TLR2;IKBKB;IRF4;WARS1;DEGS1;KLRD1;CD40LG;SIT1;AARS1;CTSS","CD56_dim_CD16__NK","Down with age"
"COMPLEMENT",0.00839251129761136,0.0241901796225269,0.285313392143872,-0.291387245210815,-1.40715122935303,154,"GNB4;IRF7;PLSCR1;JAK2;PREP;GZMB;PLA2G4A;LAP3;WAS;TIMP2;CALM3;TNFAIP3;DOCK10;USP15;CASP10;RHOG;PIK3CG;CASP4;PDP1;PSMB9;GP9;XPNPEP1;APOBEC3F;CASP9;LYN;FCER1G;CTSB;RABIF;ERAP2;PPP2CB;GNGT2;GNG2;PPP4C;KCNIP2;GNB2;SERPINE1;GP1BA;CD40LG;CTSS;DUSP5;FYN;CASP7;PIM1;HSPA5;GATA3;RNF4;CASP3;DUSP6;HSPA1A;IRF1;PLEK","CD56_dim_CD16__NK","Down with age"
"DNA REPAIR",0.00957854406130268,0.0247025610002017,0.265216893779997,-0.297228112995047,-1.41845441802465,144,"CMPK2;PDE6G;RFC3;SRSF6;PCNA;ZWINT;TYMS;RALA;ADA;HPRT1;POLA1;RFC5;NELFCD;TAF6;POLR2A;RAD51;POLH;SAC3D1;PDE4B;POLR2G;PRIM1;CANT1;VPS37B;VPS28;ELL;POM121;POLD1;ELOA;RAE1;REV3L;GTF3C5;POLR2H;DGCR8;POLD3;DUT;DDB1;POLD4;SSRP1;NELFB;ARL6IP1;AK1;POLB;RPA3;RFC2;SDCBP;POLR2J;LIG1;ALYREF;ERCC4;RAD52;NME1;RBX1;TARBP2;DCTN4;ITPA;NPR2;GMPR2;GTF2F1","CD56_dim_CD16__NK","Down with age"
